state,level,week,year
AK,0,39,2014
AK,0,38,2014
AK,0,37,2014
AK,0,36,2014
AK,0,35,2014
AK,0,34,2014
AK,0,33,2014
AK,0,32,2014
AK,0,31,2014
AK,0,30,2014
AK,0,29,2014
AK,0,28,2014
AK,0,27,2014
AK,0,26,2014
AK,0,25,2014
AK,1,24,2014
AK,2,23,2014
AK,1,22,2014
AK,1,21,2014
AK,1,20,2014
AK,1,19,2014
AK,1,18,2014
AK,1,17,2014
AK,1,16,2014
AK,1,15,2014
AK,1,14,2014
AK,1,13,2014
AK,1,12,2014
AK,1,11,2014
AK,1,10,2014
AK,1,9,2014
AK,1,8,2014
AK,3,7,2014
AK,3,6,2014
AK,4,5,2014
AK,4,4,2014
AK,5,3,2014
AK,8,2,2014
AK,8,1,2014
AK,10,52,2013
AK,7,51,2013
AK,2,50,2013
AK,1,49,2013
AK,1,48,2013
AK,1,47,2013
AK,1,46,2013
AK,1,45,2013
AK,1,44,2013
AK,1,43,2013
AK,1,42,2013
AK,1,41,2013
AK,1,40,2013
AK,1,39,2013
AK,1,38,2013
AK,1,37,2013
AK,1,36,2013
AK,1,35,2013
AK,1,34,2013
AK,1,33,2013
AK,1,32,2013
AK,1,31,2013
AK,1,30,2013
AK,1,29,2013
AK,1,28,2013
AK,1,27,2013
AK,1,26,2013
AK,1,25,2013
AK,1,24,2013
AK,1,23,2013
AK,1,22,2013
AK,1,21,2013
AK,1,20,2013
AK,1,19,2013
AK,1,18,2013
AK,1,17,2013
AK,1,16,2013
AK,1,15,2013
AK,1,14,2013
AK,1,13,2013
AK,1,12,2013
AK,1,11,2013
AK,1,10,2013
AK,1,9,2013
AK,1,8,2013
AK,1,7,2013
AK,2,6,2013
AK,5,5,2013
AK,1,4,2013
AK,5,3,2013
AK,4,2,2013
AK,4,1,2013
AK,8,52,2012
AK,4,51,2012
AK,6,50,2012
AK,2,49,2012
AK,2,48,2012
AK,3,47,2012
AK,1,46,2012
AK,2,45,2012
AK,2,44,2012
AK,1,43,2012
AK,1,42,2012
AK,1,41,2012
AK,1,40,2012
AK,1,39,2012
AK,1,38,2012
AK,1,37,2012
AK,1,36,2012
AK,1,35,2012
AK,1,34,2012
AK,1,33,2012
AK,1,32,2012
AK,1,31,2012
AK,1,30,2012
AK,1,29,2012
AK,1,28,2012
AK,1,27,2012
AK,1,26,2012
AK,1,25,2012
AK,1,24,2012
AK,1,23,2012
AK,1,22,2012
AK,1,21,2012
AK,1,20,2012
AK,2,19,2012
AK,3,18,2012
AK,3,17,2012
AK,4,16,2012
AK,5,15,2012
AK,3,14,2012
AK,1,13,2012
AK,1,12,2012
AK,2,11,2012
AK,1,10,2012
AK,1,9,2012
AK,1,8,2012
AK,1,7,2012
AK,1,6,2012
AK,1,5,2012
AK,2,4,2012
AK,1,3,2012
AK,1,2,2012
AK,1,1,2012
AK,1,52,2011
AK,1,51,2011
AK,1,50,2011
AK,1,49,2011
AK,1,48,2011
AK,1,47,2011
AK,1,46,2011
AK,1,45,2011
AK,1,44,2011
AK,1,43,2011
AK,1,42,2011
AK,1,41,2011
AK,1,40,2011
AK,1,39,2011
AK,2,38,2011
AK,1,37,2011
AK,1,36,2011
AK,1,35,2011
AK,1,34,2011
AK,1,33,2011
AK,1,32,2011
AK,1,31,2011
AK,1,30,2011
AK,1,29,2011
AK,1,28,2011
AK,1,27,2011
AK,1,26,2011
AK,1,25,2011
AK,1,24,2011
AK,1,23,2011
AK,1,22,2011
AK,1,21,2011
AK,1,20,2011
AK,1,19,2011
AK,1,18,2011
AK,1,17,2011
AK,2,16,2011
AK,1,15,2011
AK,4,14,2011
AK,4,13,2011
AK,4,12,2011
AK,6,11,2011
AK,7,10,2011
AK,10,9,2011
AK,6,8,2011
AK,6,7,2011
AK,3,6,2011
AK,5,5,2011
AK,2,4,2011
AK,3,3,2011
AK,2,2,2011
AK,1,1,2011
AK,1,52,2011
AK,1,51,2010
AK,1,50,2010
AK,1,49,2010
AK,1,48,2010
AK,1,47,2010
AK,1,46,2010
AK,1,45,2010
AK,1,44,2010
AK,1,43,2010
AK,1,42,2010
AK,1,41,2010
AK,1,40,2010
AK,1,39,2010
AK,1,38,2010
AK,1,37,2010
AK,2,36,2010
AK,1,35,2010
AK,1,34,2010
AK,1,33,2010
AK,1,32,2010
AK,1,31,2010
AK,1,30,2010
AK,1,29,2010
AK,1,28,2010
AK,1,27,2010
AK,1,26,2010
AK,1,25,2010
AK,1,24,2010
AK,1,23,2010
AK,1,22,2010
AK,1,21,2010
AK,1,20,2010
AK,1,19,2010
AK,1,18,2010
AK,4,17,2010
AK,1,16,2010
AK,1,15,2010
AK,1,14,2010
AK,1,13,2010
AK,1,12,2010
AK,1,11,2010
AK,1,10,2010
AK,1,9,2010
AK,2,8,2010
AK,1,7,2010
AK,2,6,2010
AK,1,5,2010
AK,1,4,2010
AK,1,3,2010
AK,1,2,2010
AK,1,1,2010
AK,5,52,2010
AK,5,51,2009
AK,3,50,2009
AK,6,49,2009
AK,4,48,2009
AK,6,47,2009
AK,7,46,2009
AK,7,45,2009
AK,8,44,2009
AK,10,43,2009
AK,10,42,2009
AK,10,41,2009
AK,10,40,2009
AK,10,39,2009
AK,10,38,2009
AK,9,37,2009
AK,10,36,2009
AK,8,35,2009
AK,9,34,2009
AK,2,33,2009
AK,1,32,2009
AK,1,31,2009
AK,3,30,2009
AK,1,29,2009
AK,1,28,2009
AK,1,27,2009
AK,1,26,2009
AK,1,25,2009
AK,1,24,2009
AK,1,23,2009
AK,1,22,2009
AK,1,21,2009
AK,1,20,2009
AK,1,19,2009
AK,1,18,2009
AK,1,17,2009
AK,1,16,2009
AK,1,15,2009
AK,1,14,2009
AK,1,13,2009
AK,1,12,2009
AK,1,11,2009
AK,1,10,2009
AK,1,9,2009
AK,1,8,2009
AK,2,7,2009
AK,1,6,2009
AK,1,5,2009
AK,1,4,2009
AK,1,3,2009
AK,1,2,2009
AK,1,1,2009
AK,1,53,2009
AK,1,52,2008
AK,1,51,2008
AK,1,50,2008
