week,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
21,67.4348715378311,62.20562546792471,71.73507145819633,12.072678899494381,47.34341937031705,35.49213312123579,80.00746708309434,69.19172605375196,69.2860565556105,62.487336550014604,71.41063914958103,73.23772881397025,47.93779946193919,69.19596657366272,66.89950513579427,62.6496755878342,68.83278532852697,74.74489732553138,84.76188979434849,68.26239792916732,89.3748944508542,68.31176205702191,67.48291110746221,69.9327871162389,68.95906961929168,59.69385832534889,69.21879336091554,71.98449433799436,68.56415555412511,83.83643602183335,71.88624640537564,22.028647080628133,16.405936793478187,75.71991683269886,65.4026611009934,75.51121711111433,66.47158376487987,67.29135255527558,82.2981975532086,64.33161245920394,76.47006561449894,66.24705238071807,68.49076766185497,28.955716364290762,69.79170915819866,84.64956697843296,72.10994870571534,65.83827902653418,68.73074951948946,49.2221614371501
22,65.42429029714918,65.38238176532217,74.19610846179854,15.984694225215435,52.0721906499553,30.55369193884824,68.93674519856887,64.19151529595672,74.22197679496907,65.35825692106316,73.5408830329703,79.7215604325021,54.5298715574228,76.25595461580797,72.58305417874195,63.45872576081896,64.89066274995197,75.04413630479944,66.60995900511307,64.61709743927037,66.94447213987168,73.15038998246446,73.60143744738899,76.57753067272701,73.36824320665397,70.58701948325673,67.88122792538252,77.06302812077364,67.73867836705222,62.12051385982131,62.388643287797365,15.430285025566961,20.69809365583701,66.8298415223597,64.73442080228111,71.38709656734514,65.7191618874664,63.82712806717715,72.38019494597101,67.86886058670063,76.54360312709521,64.68206586755984,65.32490789033226,32.3797510877421,65.0017711302987,66.65680576397047,68.74112943295722,75.46767325127722,63.78642465287055,53.524509785988684
23,71.84279592263782,75.87894933907138,70.48915624950003,10.817727820847185,53.79166975474922,34.364029999436546,69.61523704177831,74.09600877359854,81.6835036440656,80.34052344885477,66.87047575516259,73.19223558293174,39.01094223555147,67.10480837728376,62.39923424805277,63.555430994117444,71.52499371467337,75.6015073413933,70.2189372974628,73.00201094146955,67.24810842418711,61.81847330865819,70.16982247378174,72.31227521826192,75.63616952437228,59.818167574245024,81.80967092556983,71.33011657938366,60.68877287193384,65.17111243188536,69.08922238136543,28.049110784335085,13.549278236349595,70.71063335369466,67.94716064478344,68.45372109122829,49.04157375069896,67.85865077765007,72.17835593303697,81.78007221281571,67.26015808122642,71.87305507591988,61.994033595241746,22.32538377936071,77.10520541974905,69.84374526718274,56.25052815176698,72.02451736750717,73.17750310326923,41.74991417807199
24,65.3745292858932,68.21990897037678,65.75976523238555,13.546320127040055,50.132503241306495,24.56247955743597,73.52440678481942,72.52559592170033,75.0670437658571,69.30509162257485,68.59594459380816,72.20821437885563,39.71992912391987,68.73117340622854,72.03339636724499,52.23138116263171,69.3020408330476,73.46560160829765,74.49573435975451,69.72897115491706,71.56519212167542,72.16850099817167,65.01302247461679,68.4074205509589,69.91474078576489,58.38719811678046,69.16717984017386,61.12861595099288,59.07175461486371,70.24117337947412,70.98990063441106,26.262632556976445,14.43956253623374,74.22418265473055,73.11088369359055,62.79997764909482,55.298850710296634,72.36123629960754,73.29434959776707,67.33776146575069,63.68295645671276,66.01924813444161,64.75049147633156,17.29422625875757,71.21524881163468,73.58792749478211,57.68267068777618,70.49739437682894,75.11681664974915,37.912262765077905
25,64.02854134296904,73.00696334990843,71.12241073194015,9.537230815304332,48.6712594740639,27.48237712196288,66.94557976280923,74.27109772152498,74.68065107207188,75.18852334624377,69.21261674189961,63.414057606889884,46.955488377077465,69.78553917583378,66.47778833505376,60.14141146050539,70.95587764859967,75.792970665395,68.79828875233089,71.82790555595703,68.50697779101543,64.97567457490625,67.29310331593716,70.6124355719401,73.3659817596735,59.79933034732206,76.94345602864901,70.41776144317748,61.31280402825531,66.49647943657709,66.53725921274797,24.109790961494614,14.746495484971467,66.02280140601361,65.0671759732023,67.30408654443927,62.251944795119144,65.38265469237561,71.77888596453894,73.01465268248134,65.78338765121242,71.27660967857527,62.08158745106096,16.96489821906989,76.87615206534579,69.21299199733403,65.71135393785939,69.0440297572587,70.77200705848124,37.673674397098715
26,72.06448437399284,72.80777920020151,61.94195117069821,12.87273714225944,54.859045142105415,27.620249864624114,79.29777728830081,75.54012482272528,75.97647044551366,77.40130855121576,71.04114418633303,70.26551205215277,52.13757936453169,74.3056286903003,77.79795088100933,51.55261502443543,74.07761592231091,70.14703694647564,80.71476829735965,75.28245101218212,83.93081956945355,75.71763160487448,66.30844139861215,66.49402790011536,70.69061847169601,55.47909720177525,80.45673741407604,62.594918758294256,58.08488643450443,79.01937677589126,72.96458391312306,18.536826481286074,21.77677379823226,78.10849014607263,76.812638099579,55.66242290080444,66.59470185290975,75.4267701835343,83.33073766942582,76.26593835582976,59.4863278761721,68.60914224622438,51.97907314517786,24.126334464743074,76.27032809909264,80.89782836222594,71.13259367699212,74.73244946850217,75.86996745350204,37.263301281778325
27,79.08201129635181,80.44430296828128,59.459958638281364,28.687497749442624,50.75771132572883,40.345727542165925,78.78985330306752,78.85595606701891,80.5767355851153,85.45348173682916,70.39837473504225,58.54725399836435,41.59244313158109,74.50476175178139,79.86242908250267,44.621269464105204,83.6391385244577,68.87677550965857,78.15727644509565,77.52060304644607,74.50152555344684,68.6481294547392,57.976518532954124,61.896414823382216,75.06880771116742,52.78002589438472,84.18262225554423,59.905380091012056,50.80148460172588,75.38082868273266,75.74095889169914,44.58658881276003,20.287775096007174,79.62103355220054,82.10210337314925,50.379647430730216,51.71986713912693,77.18593780237045,81.76408970976408,83.68629178292538,56.312826608365604,79.0918689475652,47.66837341323996,29.14273366772947,80.78061488113555,81.52376842602328,55.309631433963425,63.38710453757035,76.28091782696681,43.456514952028094
28,72.4824347901667,79.12471845855258,59.80760259994658,37.23707746624503,49.463031592572214,41.67429741688797,78.20706864378766,80.85052972285631,78.20071006485017,82.86895807893823,68.09402508634031,64.87035230831334,34.456693141696434,68.94348561489977,70.79654789201072,48.04834949943464,71.49922981117592,72.48044410458226,82.41239453746836,80.18550905019134,73.56774197950836,71.83679448455993,68.16441549778446,60.4359447195932,76.1377885908596,49.84715465185912,83.00690159040708,68.35233569702784,60.26207318241596,77.78077447836311,75.44988041769184,39.5876112205396,19.866612590698548,76.59416552840166,75.02467603386323,54.334810790781596,47.42206736557903,77.36431991205718,84.00681981407067,81.20167527617204,65.8537736005914,70.71940786917716,54.40578347855553,31.819127991083413,81.03609997936681,77.2664449991815,52.74001798325421,68.31775281456915,78.36879438512639,41.1302653830432
29,79.72841207197733,75.19290231447275,69.91101964257885,45.61082478263307,50.602197511141796,50.95830771552306,66.04271034732422,69.83771689096666,80.89264499202586,78.75167275696455,67.80117514063862,64.36168163547178,32.440110857415036,71.83807910334433,71.45040516313178,63.3037602190665,72.0824030320915,76.1435195174855,69.82763764851772,68.88029884840822,68.91718020769832,68.96786547501009,68.39894699784287,66.88396518343127,76.67628555881817,47.16540407070046,77.101561263594,69.10785121306411,59.05013819416207,66.74796148894363,64.96076487102263,60.72332752376346,18.274520029052084,68.66140430214473,73.99499858281546,71.91805073508358,47.19075133406825,69.10836467194092,72.29217430449965,77.76903965945941,61.445492230893024,71.52853695715446,74.39647021658668,33.73256351727123,74.36390309500193,70.9119587697344,51.093442254998465,67.04954548374518,76.6796275245887,40.27322477394566
30,75.68631083870935,78.79289787167409,74.61679569950716,48.29093279338744,55.171528851734934,43.576881641858016,77.40707925374014,75.04663043755438,77.88773763824554,79.07029845055659,70.81476670857074,68.14308050262977,28.010724601027412,71.10557114214684,70.19321313764314,65.6268396585671,73.65808580616564,74.95274994157582,80.09910131502792,73.26681628864745,78.9303435367033,71.24674134883787,68.80147507402755,67.6044254954824,77.31500125160531,45.26690461037546,78.21237728827596,63.62679894553528,64.84141924585849,77.25844216126973,74.14632912444745,53.07828350963694,31.903678973397408,73.79699968224631,74.2931683833594,70.14657584377261,43.943327855874,73.33209042996883,81.54934265624408,77.09076549369846,62.42035466385111,72.95671616459298,63.308098650416156,32.53977294454519,76.21861614677313,76.27354213831828,50.588672599636794,73.00070913411092,75.84337401185515,37.88444973460964
31,76.18201007387634,75.38933323687708,76.3121043208282,30.90761131403818,52.73783307719782,52.769672178633726,70.66522399748429,71.32851362046156,76.40187611717374,76.47495454403328,73.00173979668023,71.07823882199172,36.465513467174056,75.36365218148306,72.76152542057032,76.25914715694766,74.79140382440903,71.31122520894391,72.3332188473881,69.96880337614729,76.97922167859387,73.47301813410861,66.38453643780508,77.60393984897799,73.13701018489303,58.86706095808216,78.27047427748691,64.37878289580601,74.87049434585632,69.24034937017504,71.36666929273142,44.87752308859933,17.291285750835097,71.07958134597153,72.90673645097299,69.42047476907037,55.938190347303276,70.9571221691825,73.08917203266256,78.11066712051056,69.3993097441834,72.9139184535297,55.416217343145924,31.20526772887154,74.68179564575796,71.60144801955127,64.1659983597342,69.2586562773129,75.1682944760214,47.75564143080553
32,79.69768081850712,77.88712050795284,76.40875521615699,29.07732435988823,55.26171501355546,56.256806426776905,69.41551984493869,77.27976511805555,75.44955835266408,76.7707262737009,70.83742934876749,74.06151076871906,31.120001315503764,77.16292872346038,75.96007421996316,76.84856865274071,81.00405509922575,69.7628003042857,67.85191082777251,76.02587338521059,71.51494176203447,71.64057153495534,72.47912531628262,78.79067735625235,76.45903939377942,55.00667628083907,77.89932360292913,70.60732458316191,70.64508537919396,65.6214100789626,72.31185302612924,48.835936542996464,14.47120562772895,70.12807791903607,76.61078869532281,67.92478481213992,55.1261495941916,74.6739386179342,68.82601452197153,74.94512392459173,71.48305122753105,78.73228851422076,53.943299722462314,26.03021525842493,78.99579630471584,68.92074904484974,57.373900601198216,72.87462616350865,78.29727787723934,41.559599025446566
33,80.86435048530643,82.7794126961918,75.02815075036676,25.789901792084297,51.30227554301302,44.110214897897215,67.74347209856961,70.89097286125526,75.6932776732143,82.93978875266298,67.33553859836088,67.69027870288794,32.31797654576586,70.80029107257008,68.05652897615815,73.6537718511846,73.93502605017011,74.70721852227453,69.77270501734768,67.77106771151911,70.93380732972257,66.92522379294684,64.83745092019721,69.97272274561796,79.82515726495171,46.766350695827704,81.03498799464829,63.75721964273124,74.61452095168187,67.84543723516612,69.20939078221214,47.6795466972503,14.509867406323096,69.73507963867233,69.76789168375457,75.59862275694853,55.26596256854126,69.08610383335642,70.46993003654346,80.35320629366406,73.69515486815641,74.79650608710492,59.11996471605534,22.901902593124703,75.84503014081767,73.42380223612501,59.57328299254282,65.13153664406386,74.90754249502257,34.526519566823524
