state,week,year,level,temp,humid
WA,49,2016,1,30.41171875,78.08947870936088
WA,49,2017,1,33.915625,84.67767710022498
WA,49,2018,1,33.089285714285715,76.00586787230861
WA,50,2008,1,37.04952380952381,82.82007007317327
WA,50,2009,1,21.0625,58.68583512663467
WA,50,2010,1,38.01450892857143,81.41523581857126
WA,50,2011,1,33.81249999999999,85.38009807878693
WA,50,2012,1,37.5552995391705,87.6240575554616
WA,50,2013,1,32.20829493087557,79.48424913659571
WA,50,2014,3,45.747926267281116,83.1225840219965
WA,50,2015,1,45.2693650793651,83.31216223262822
WA,50,2016,2,25.659375,77.86939971385509
WA,50,2017,1,35.248139880952394,86.05207334982029
WA,50,2018,1,41.75504464285714,79.42189514750423
WA,51,2008,1,19.96428571428572,71.95435751139644
WA,51,2009,1,38.86696428571428,88.50799670046423
WA,51,2010,1,38.529017857142854,81.84495183905786
WA,51,2011,1,34.69776785714286,83.82837140867133
WA,51,2012,3,37.17327188940092,81.39347256377526
WA,51,2013,1,36.68317972350231,81.7005297806488
WA,51,2014,5,42.82626728110599,82.30287316210149
WA,51,2015,1,37.14144393241168,83.8212316986359
WA,51,2016,4,33.300446428571426,85.23177373829145
WA,51,2017,1,34.14151785714286,81.64371333463681
WA,51,2018,1,42.167410714285715,81.86158705949248
WA,52,2008,1,27.890476190476193,85.46411589667234
WA,52,2010,1,32.7878125,78.38304844088077
WA,52,2011,2,36.261160714285715,79.66907214474993
WA,52,2011,1,36.261160714285715,79.66907214474993
WA,52,2012,7,35.951267281106,85.53940407282852
WA,52,2013,4,35.99516129032257,86.83415941161665
WA,52,2014,6,40.89861751152074,82.13042524736142
WA,52,2016,1,33.572916666666664,83.7869614771462
WA,52,2016,6,33.572916666666664,83.7869614771462
WA,52,2017,10,32.39140625,87.6146220407135
WA,52,2018,2,38.415104166666666,86.88150313123957
WA,53,2009,1,32.52715053763441,85.59488305245908
WA,53,2015,5,30.11416666666667,84.18883955169755
WI,1,2009,1,17.226562499999996,73.01087387893851
WI,1,2010,1,11.312499999999995,73.68143046470273
WI,1,2011,1,12.623660714285712,73.82428154234786
WI,1,2012,1,25.72533482142857,68.85261319656777
WI,1,2013,7,11.630859375,73.99135038001121
WI,1,2014,3,5.196874999999999,67.49572538457008
WI,1,2015,5,18.792187500000004,72.92289069982809
WI,1,2016,1,24.14375,81.17053127186851
WI,1,2017,1,8.851785714285713,71.99692731065589
WI,1,2018,7,4.767578125000002,68.49394326089983
WI,1,2019,4,26.021875,79.49128417025409
WI,2,2009,1,12.217857142857143,75.17049960769519
WI,2,2010,1,22.84107142857143,81.9680827332363
WI,2,2011,1,16.83303571428571,77.9864139691981
WI,2,2012,1,25.25098214285714,74.34213586359925
WI,2,2013,8,28.546875,76.81351584693844
WI,2,2014,3,6.49375,74.19419863349867
WI,2,2015,3,1.0450892857142855,65.2807343411659
WI,2,2016,1,8.333482142857141,74.91755870027689
WI,2,2017,1,14.393749999999995,72.25469926510506
WI,2,2018,8,19.31339285714285,76.15171035881541
WI,2,2019,4,25.159375,75.73701547722037
WI,3,2009,1,0.9566964285714292,69.91902859675824
WI,3,2010,1,27.693303571428572,84.81757414178337
WI,3,2011,1,7.587946428571428,71.56352718262693
WI,3,2012,1,12.728125,70.88950808619613
WI,3,2013,6,18.945982142857144,68.53766440607296
WI,3,2014,4,19.128125,77.35078219464562
WI,3,2015,2,19.03392857142857,74.1368294656322
WI,3,2016,1,12.836607142857142,74.35220703327988
WI,3,2017,2,32.57723214285713,91.43248248328013
WI,3,2018,7,22.431622023809524,77.07761346285716
WI,3,2019,4,17.535714285714292,75.083555450125
WI,4,2009,1,10.750446428571427,74.6088354958372
WI,4,2010,1,11.585267857142856,68.97231506060471
WI,4,2011,3,21.137946428571443,80.46462196453608
WI,4,2012,1,26.2625,78.85543475476257
WI,4,2013,5,7.799107142857142,65.92375887510015
WI,4,2014,6,6.3468750000000025,66.82485934888274
WI,4,2015,1,27.942857142857147,80.40823366345526
WI,4,2016,1,28.072767857142853,79.54338028947953
WI,4,2017,3,29.645089285714285,81.69123556057542
WI,4,2018,9,28.316964285714285,80.57392371339306
WI,4,2019,4,4.738392857142856,71.98023129210465
WI,5,2009,1,10.691517857142859,65.62139701143886
WI,5,2010,1,20.41875,74.7656675844012
WI,5,2011,5,17.235714285714284,69.51526852106042
WI,5,2012,1,30.50625,80.51523510665504
WI,5,2013,5,17.48169642857143,78.58429024291817
WI,5,2014,2,3.738392857142857,64.81203089278138
WI,5,2015,1,22.675446428571433,75.18588896306802
WI,5,2016,1,26.28125,80.61422359807379
WI,5,2017,5,17.845982142857142,67.64352868392166
WI,5,2018,10,13.971875,65.19298965010186
WI,5,2019,4,3.9895461309523816,72.24978117303753
WI,6,2009,3,17.95491071428571,69.69288287348208
WI,6,2010,1,18.090178571428574,73.63424745992384
WI,6,2011,5,11.788392857142858,69.22760443379386
WI,6,2012,1,21.724553571428565,60.01623627776189
WI,6,2013,2,18.754464285714292,79.76452182054936
WI,6,2014,4,3.8915178571428566,69.16377999020897
WI,6,2015,2,13.945535714285713,70.37191431813716
WI,6,2016,1,10.039285714285716,63.58032068816887
WI,6,2017,6,24.504017857142863,69.72884306276535
WI,6,2018,10,6.0133928571428585,65.4951962469101
WI,6,2019,3,16.19017857142857,81.3120102057292
WI,7,2009,4,30.686607142857145,76.73677861587052
WI,7,2010,1,25.574553571428577,64.49517215457679
WI,7,2011,5,33.10915178571428,72.00161854950122
WI,7,2012,1,28.774999999999995,71.93966506820381
WI,7,2013,1,21.174107142857142,73.59385212744786
WI,7,2014,2,7.737053571428571,69.85064115753022
WI,7,2015,1,12.779910714285712,67.48136160041638
WI,7,2016,1,28.454910714285717,76.09858056748001
WI,7,2017,4,35.02366071428571,62.0135162649901
WI,7,2018,8,21.589285714285715,66.04162796628114
WI,7,2019,4,18.540178571428573,77.8640795190183
WI,8,2009,3,19.143377976190482,68.15566794656252
WI,8,2010,1,23.54017857142857,69.86949074910767
WI,8,2011,4,20.35178571428571,75.1350781872063
WI,8,2012,1,29.10580357142857,70.82235198013167
WI,8,2013,1,20.841517857142858,74.68471325799685
WI,8,2014,3,22.79241071428571,73.53437450122712
WI,8,2015,2,5.659821428571428,64.30285828348067
